genome1,genome2,coreAA_identity_pct,compared_positions
A_51_Scapto_004_v2,F_florum_DSM22689,63.499,38125
A_51_Scapto_004_v2,F_fructivorans_strainDSM20203,67.8238,38168
A_51_Scapto_004_v2,F_lindneri_strainDSM20690,66.1525,38118
A_51_Scapto_004_v2,F_sanfranciscensis_DSM20451,65.2648,38091
A_51_Scapto_004_v2,L_Lactobacillus_spSy1,70.9829,38050
A_51_Scapto_004_v2,L_senioris_DSM24302,67.197,38091
A_51_Scapto_004_v2,N_22_Melli_029_v2,71.1617,38064
A_51_Scapto_004_v2,N_40_Melli_029_v2,70.7298,37885
A_51_Scapto_004_v2,N_41_Melli_001_v2,71.1638,38039
A_51_Scapto_004_v2,N_45_Melli_016_v2,70.6742,38161
A_51_Scapto_004_v2,N_45_Melli_020_v2,71.16,38027
A_51_Scapto_004_v2,N_46_Melli_022_v2,70.6742,38161
A_51_Scapto_004_v2,N_47_Melli_001_v2,71.164,38015
A_51_Scapto_004_v2,N_barcode03,71.1209,38076
A_51_Scapto_004_v2,N_barcode04,71.1362,38020
A_51_Scapto_004_v2,N_barcode20,70.7686,37665
A_51_Scapto_004_v2,Nicoliella_lavandulae_Es01,71.1238,38201
A_51_Scapto_004_v2,Nicoliella_spurrieriana_SGEP1_A5,71.0177,38006
A_89_Scapto_001_v2,A_89_Scapto_002_v2,85.0905,38338
A_89_Scapto_001_v2,A_90_Scapto_012_v2,85.0853,38338
A_89_Scapto_001_v2,A_92_Scapto_002_v2,99.8417,38528
A_89_Scapto_001_v2,A_92_Scapto_009_v2,85.0815,38288
A_89_Scapto_001_v2,A_apinorum_strainFhon13,69.7906,38104
A_89_Scapto_001_v2,A_jinshanensis_brasiliensis,69.8076,37271
A_89_Scapto_001_v2,A_jinshanensis_strainHSLZ75,69.0963,38167
A_89_Scapto_001_v2,A_jinshanensis_subsaerogenes,69.0806,38167
A_89_Scapto_001_v2,A_kunkeei_DSM12361,70.2564,38146
A_89_Scapto_001_v2,A_micheneri_strainHlig3,71.1529,37983
A_89_Scapto_001_v2,A_micheneri_strainNBRC113063,71.117,38199
A_89_Scapto_001_v2,A_ozensis_DSM23829,70.8862,38195
A_89_Scapto_001_v2,A_quenuiae_strainHV6,70.9618,38136
A_89_Scapto_001_v2,A_timberlakei_strainHV12,71.0554,38166
A_89_Scapto_001_v2,F_florum_DSM22689,63.8379,38156
A_89_Scapto_001_v2,F_fructivorans_strainDSM20203,67.8689,38206
A_89_Scapto_001_v2,F_lindneri_strainDSM20690,66.2243,38128
A_89_Scapto_001_v2,F_sanfranciscensis_DSM20451,65.6183,38061
A_89_Scapto_001_v2,L_Lactobacillus_spSy1,71.387,38112
A_89_Scapto_001_v2,L_senioris_DSM24302,67.6731,38154
A_89_Scapto_001_v2,N_22_Melli_029_v2,71.6962,38115
A_89_Scapto_001_v2,N_40_Melli_029_v2,71.095,37945
A_89_Scapto_001_v2,N_41_Melli_001_v2,71.7073,38084
A_89_Scapto_001_v2,N_45_Melli_016_v2,71.0515,38223
A_89_Scapto_001_v2,N_45_Melli_020_v2,71.6837,38077
A_89_Scapto_001_v2,N_46_Melli_022_v2,71.0541,38223
A_89_Scapto_001_v2,N_47_Melli_001_v2,71.6999,38067
A_89_Scapto_001_v2,N_barcode03,71.6594,38129
A_89_Scapto_001_v2,N_barcode04,71.6432,38072
A_89_Scapto_001_v2,N_barcode20,71.3536,37715
A_89_Scapto_001_v2,Nicoliella_lavandulae_Es01,71.5899,38247
A_89_Scapto_001_v2,Nicoliella_spurrieriana_SGEP1_A5,71.4733,38038
A_89_Scapto_002_v2,A_90_Scapto_012_v2,99.987,38442
A_89_Scapto_002_v2,A_92_Scapto_002_v2,85.1002,38336
A_89_Scapto_002_v2,A_92_Scapto_009_v2,99.9687,38392
A_89_Scapto_002_v2,A_apinorum_strainFhon13,69.3562,38086
A_89_Scapto_002_v2,A_jinshanensis_brasiliensis,69.9651,37270
A_89_Scapto_002_v2,A_jinshanensis_strainHSLZ75,69.3108,38160
A_89_Scapto_002_v2,A_jinshanensis_subsaerogenes,69.2951,38160
A_89_Scapto_002_v2,A_kunkeei_DSM12361,69.723,38128
A_89_Scapto_002_v2,A_micheneri_strainHlig3,70.8732,37941
A_89_Scapto_002_v2,A_micheneri_strainNBRC113063,70.8569,38160
A_89_Scapto_002_v2,A_ozensis_DSM23829,70.8291,38151
A_89_Scapto_002_v2,A_quenuiae_strainHV6,70.7866,38099
A_89_Scapto_002_v2,A_timberlakei_strainHV12,70.8624,38102
A_89_Scapto_002_v2,F_florum_DSM22689,63.499,38125
A_89_Scapto_002_v2,F_fructivorans_strainDSM20203,67.8186,38168
A_89_Scapto_002_v2,F_lindneri_strainDSM20690,66.1499,38118
A_89_Scapto_002_v2,F_sanfranciscensis_DSM20451,65.2595,38091
A_89_Scapto_002_v2,L_Lactobacillus_spSy1,70.9724,38050
A_89_Scapto_002_v2,L_senioris_DSM24302,67.1891,38091
A_89_Scapto_002_v2,N_22_Melli_029_v2,71.1591,38064
A_89_Scapto_002_v2,N_40_Melli_029_v2,70.7272,37885
A_89_Scapto_002_v2,N_41_Melli_001_v2,71.1612,38039
A_89_Scapto_002_v2,N_45_Melli_016_v2,70.6742,38161
A_89_Scapto_002_v2,N_45_Melli_020_v2,71.1573,38027
A_89_Scapto_002_v2,N_46_Melli_022_v2,70.6742,38161
A_89_Scapto_002_v2,N_47_Melli_001_v2,71.1614,38015
A_89_Scapto_002_v2,N_barcode03,71.1235,38076
A_89_Scapto_002_v2,N_barcode04,71.1336,38020
A_89_Scapto_002_v2,N_barcode20,70.7607,37665
A_89_Scapto_002_v2,Nicoliella_lavandulae_Es01,71.1159,38201
A_89_Scapto_002_v2,Nicoliella_spurrieriana_SGEP1_A5,71.0125,38006
A_90_Scapto_012_v2,A_92_Scapto_002_v2,85.0949,38336
A_90_Scapto_012_v2,A_92_Scapto_009_v2,99.9661,38392
A_90_Scapto_012_v2,A_apinorum_strainFhon13,69.3588,38086
A_90_Scapto_012_v2,A_jinshanensis_brasiliensis,69.9705,37270
A_90_Scapto_012_v2,A_jinshanensis_strainHSLZ75,69.316,38160
A_90_Scapto_012_v2,A_jinshanensis_subsaerogenes,69.3003,38160
A_90_Scapto_012_v2,A_kunkeei_DSM12361,69.7257,38128
A_90_Scapto_012_v2,A_micheneri_strainHlig3,70.8732,37941
A_90_Scapto_012_v2,A_micheneri_strainNBRC113063,70.8569,38160
A_90_Scapto_012_v2,A_ozensis_DSM23829,70.8291,38151
A_90_Scapto_012_v2,A_quenuiae_strainHV6,70.7866,38099
A_90_Scapto_012_v2,A_timberlakei_strainHV12,70.8624,38102
A_90_Scapto_012_v2,F_florum_DSM22689,63.4964,38125
A_90_Scapto_012_v2,F_fructivorans_strainDSM20203,67.8238,38168
A_90_Scapto_012_v2,F_lindneri_strainDSM20690,66.1472,38118
A_90_Scapto_012_v2,F_sanfranciscensis_DSM20451,65.2621,38091
A_90_Scapto_012_v2,L_Lactobacillus_spSy1,70.9777,38050
A_90_Scapto_012_v2,L_senioris_DSM24302,67.1944,38091
A_90_Scapto_012_v2,N_22_Melli_029_v2,71.1591,38064
A_90_Scapto_012_v2,N_40_Melli_029_v2,70.7298,37885
A_90_Scapto_012_v2,N_41_Melli_001_v2,71.1612,38039
A_90_Scapto_012_v2,N_45_Melli_016_v2,70.6742,38161
A_90_Scapto_012_v2,N_45_Melli_020_v2,71.1573,38027
A_90_Scapto_012_v2,N_46_Melli_022_v2,70.6742,38161
A_90_Scapto_012_v2,N_47_Melli_001_v2,71.1614,38015
A_90_Scapto_012_v2,N_barcode03,71.1183,38076
A_90_Scapto_012_v2,N_barcode04,71.1336,38020
A_90_Scapto_012_v2,N_barcode20,70.7607,37665
A_90_Scapto_012_v2,Nicoliella_lavandulae_Es01,71.1186,38201
A_90_Scapto_012_v2,Nicoliella_spurrieriana_SGEP1_A5,71.0125,38006
A_92_Scapto_002_v2,A_92_Scapto_009_v2,85.0912,38286
A_92_Scapto_002_v2,A_apinorum_strainFhon13,69.7987,38101
A_92_Scapto_002_v2,A_jinshanensis_brasiliensis,69.8167,37269
A_92_Scapto_002_v2,A_jinshanensis_strainHSLZ75,69.1052,38165
A_92_Scapto_002_v2,A_jinshanensis_subsaerogenes,69.0895,38165
A_92_Scapto_002_v2,A_kunkeei_DSM12361,70.2514,38143
A_92_Scapto_002_v2,A_micheneri_strainHlig3,71.1356,37981
A_92_Scapto_002_v2,A_micheneri_strainNBRC113063,71.0998,38197
A_92_Scapto_002_v2,A_ozensis_DSM23829,70.8567,38194
A_92_Scapto_002_v2,A_quenuiae_strainHV6,70.9682,38134
A_92_Scapto_002_v2,A_timberlakei_strainHV12,71.0382,38164
A_92_Scapto_002_v2,F_florum_DSM22689,63.8232,38157
A_92_Scapto_002_v2,F_fructivorans_strainDSM20203,67.8454,38206
A_92_Scapto_002_v2,F_lindneri_strainDSM20690,66.2269,38128
A_92_Scapto_002_v2,F_sanfranciscensis_DSM20451,65.628,38060
A_92_Scapto_002_v2,L_Lactobacillus_spSy1,71.3709,38115
A_92_Scapto_002_v2,L_senioris_DSM24302,67.6653,38151
A_92_Scapto_002_v2,N_22_Melli_029_v2,71.6992,38112
A_92_Scapto_002_v2,N_40_Melli_029_v2,71.104,37943
A_92_Scapto_002_v2,N_41_Melli_001_v2,71.7103,38081
A_92_Scapto_002_v2,N_45_Melli_016_v2,71.0604,38221
A_92_Scapto_002_v2,N_45_Melli_020_v2,71.6841,38074
A_92_Scapto_002_v2,N_46_Melli_022_v2,71.063,38221
A_92_Scapto_002_v2,N_47_Melli_001_v2,71.7003,38064
A_92_Scapto_002_v2,N_barcode03,71.6624,38126
A_92_Scapto_002_v2,N_barcode04,71.6462,38069
A_92_Scapto_002_v2,N_barcode20,71.3373,37718
A_92_Scapto_002_v2,Nicoliella_lavandulae_Es01,71.5929,38244
A_92_Scapto_002_v2,Nicoliella_spurrieriana_SGEP1_A5,71.4605,38035
A_92_Scapto_009_v2,A_apinorum_strainFhon13,69.3711,38036
A_92_Scapto_009_v2,A_jinshanensis_brasiliensis,69.9651,37220
A_92_Scapto_009_v2,A_jinshanensis_strainHSLZ75,69.3073,38110
A_92_Scapto_009_v2,A_jinshanensis_subsaerogenes,69.2915,38110
A_92_Scapto_009_v2,A_kunkeei_DSM12361,69.7332,38078
A_92_Scapto_009_v2,A_micheneri_strainHlig3,70.8796,37891
A_92_Scapto_009_v2,A_micheneri_strainNBRC113063,70.8633,38110
A_92_Scapto_009_v2,A_ozensis_DSM23829,70.8433,38101
A_92_Scapto_009_v2,A_quenuiae_strainHV6,70.7956,38049
A_92_Scapto_009_v2,A_timberlakei_strainHV12,70.8636,38052
A_92_Scapto_009_v2,F_florum_DSM22689,63.4879,38075
A_92_Scapto_009_v2,F_fructivorans_strainDSM20203,67.8367,38118
A_92_Scapto_009_v2,F_lindneri_strainDSM20690,66.1579,38068
A_92_Scapto_009_v2,F_sanfranciscensis_DSM20451,65.2559,38041
A_92_Scapto_009_v2,L_Lactobacillus_spSy1,70.9921,38000
A_92_Scapto_009_v2,L_senioris_DSM24302,67.1933,38041
A_92_Scapto_009_v2,N_22_Melli_029_v2,71.1685,38014
A_92_Scapto_009_v2,N_40_Melli_029_v2,70.7387,37835
A_92_Scapto_009_v2,N_41_Melli_001_v2,71.1706,37989
A_92_Scapto_009_v2,N_45_Melli_016_v2,70.6856,38111
A_92_Scapto_009_v2,N_45_Melli_020_v2,71.1668,37977
A_92_Scapto_009_v2,N_46_Melli_022_v2,70.6856,38111
A_92_Scapto_009_v2,N_47_Melli_001_v2,71.1708,37965
A_92_Scapto_009_v2,N_barcode03,71.1329,38026
A_92_Scapto_009_v2,N_barcode04,71.143,37970
A_92_Scapto_009_v2,N_barcode20,70.7776,37615
A_92_Scapto_009_v2,Nicoliella_lavandulae_Es01,71.1358,38151
A_92_Scapto_009_v2,Nicoliella_spurrieriana_SGEP1_A5,71.0217,37956
A_apinorum_strainFhon13,A_jinshanensis_brasiliensis,66.1097,37164
A_apinorum_strainFhon13,A_jinshanensis_strainHSLZ75,65.7248,38010
A_apinorum_strainFhon13,A_jinshanensis_subsaerogenes,65.7038,38010
A_apinorum_strainFhon13,A_kunkeei_DSM12361,90.7602,38215
A_apinorum_strainFhon13,A_micheneri_strainHlig3,82.0402,37957
A_apinorum_strainFhon13,A_micheneri_strainNBRC113063,81.9944,38177
A_apinorum_strainFhon13,A_ozensis_DSM23829,77.0292,38118
A_apinorum_strainFhon13,A_quenuiae_strainHV6,81.7445,38120
A_apinorum_strainFhon13,A_timberlakei_strainHV12,81.8857,38119
A_apinorum_strainFhon13,F_florum_DSM22689,65.4293,38038
A_apinorum_strainFhon13,F_fructivorans_strainDSM20203,69.4125,38094
A_apinorum_strainFhon13,F_lindneri_strainDSM20690,68.1811,38034
A_apinorum_strainFhon13,F_sanfranciscensis_DSM20451,67.9724,38011
A_apinorum_strainFhon13,L_Lactobacillus_spSy1,72.8869,37978
A_apinorum_strainFhon13,L_senioris_DSM24302,70.2574,38033
A_apinorum_strainFhon13,N_22_Melli_029_v2,72.8751,38013
A_apinorum_strainFhon13,N_40_Melli_029_v2,71.4376,37798
A_apinorum_strainFhon13,N_41_Melli_001_v2,72.8838,37981
A_apinorum_strainFhon13,N_45_Melli_016_v2,71.3734,38073
A_apinorum_strainFhon13,N_45_Melli_020_v2,72.8637,37975
A_apinorum_strainFhon13,N_46_Melli_022_v2,71.3682,38073
A_apinorum_strainFhon13,N_47_Melli_001_v2,72.8729,37962
A_apinorum_strainFhon13,N_barcode03,72.8657,38011
A_apinorum_strainFhon13,N_barcode04,72.866,37956
A_apinorum_strainFhon13,N_barcode20,72.6511,37614
A_apinorum_strainFhon13,Nicoliella_lavandulae_Es01,73.0556,38123
A_apinorum_strainFhon13,Nicoliella_spurrieriana_SGEP1_A5,72.7637,37942
A_jinshanensis_brasiliensis,A_jinshanensis_strainHSLZ75,91.0204,37496
A_jinshanensis_brasiliensis,A_jinshanensis_subsaerogenes,90.999,37496
A_jinshanensis_brasiliensis,A_kunkeei_DSM12361,66.3807,37184
A_jinshanensis_brasiliensis,A_micheneri_strainHlig3,66.902,36969
A_jinshanensis_brasiliensis,A_micheneri_strainNBRC113063,66.8594,37190
A_jinshanensis_brasiliensis,A_ozensis_DSM23829,66.9221,37194
A_jinshanensis_brasiliensis,A_quenuiae_strainHV6,66.8282,37134
A_jinshanensis_brasiliensis,A_timberlakei_strainHV12,66.8579,37134
A_jinshanensis_brasiliensis,F_florum_DSM22689,61.8556,37164
A_jinshanensis_brasiliensis,F_fructivorans_strainDSM20203,65.2974,37222
A_jinshanensis_brasiliensis,F_lindneri_strainDSM20690,63.9627,37192
A_jinshanensis_brasiliensis,F_sanfranciscensis_DSM20451,63.3181,37130
A_jinshanensis_brasiliensis,L_Lactobacillus_spSy1,67.8726,37093
A_jinshanensis_brasiliensis,L_senioris_DSM24302,64.5026,37183
A_jinshanensis_brasiliensis,N_22_Melli_029_v2,67.8331,37150
A_jinshanensis_brasiliensis,N_40_Melli_029_v2,67.6805,36956
A_jinshanensis_brasiliensis,N_41_Melli_001_v2,67.8395,37117
A_jinshanensis_brasiliensis,N_45_Melli_016_v2,67.6463,37226
A_jinshanensis_brasiliensis,N_45_Melli_020_v2,67.8271,37112
A_jinshanensis_brasiliensis,N_46_Melli_022_v2,67.649,37226
A_jinshanensis_brasiliensis,N_47_Melli_001_v2,67.8478,37083
A_jinshanensis_brasiliensis,N_barcode03,67.8206,37148
A_jinshanensis_brasiliensis,N_barcode04,67.8197,37091
A_jinshanensis_brasiliensis,N_barcode20,67.4579,36734
A_jinshanensis_brasiliensis,Nicoliella_lavandulae_Es01,68.0116,37251
A_jinshanensis_brasiliensis,Nicoliella_spurrieriana_SGEP1_A5,67.6693,37101
A_jinshanensis_strainHSLZ75,A_jinshanensis_subsaerogenes,99.9741,38646
A_jinshanensis_strainHSLZ75,A_kunkeei_DSM12361,66.0011,38060
A_jinshanensis_strainHSLZ75,A_micheneri_strainHlig3,66.3385,37892
A_jinshanensis_strainHSLZ75,A_micheneri_strainNBRC113063,66.309,38114
A_jinshanensis_strainHSLZ75,A_ozensis_DSM23829,66.398,38090
A_jinshanensis_strainHSLZ75,A_quenuiae_strainHV6,66.2793,38033
A_jinshanensis_strainHSLZ75,A_timberlakei_strainHV12,66.2927,38057
A_jinshanensis_strainHSLZ75,F_florum_DSM22689,61.27,38048
A_jinshanensis_strainHSLZ75,F_fructivorans_strainDSM20203,64.8898,38120
A_jinshanensis_strainHSLZ75,F_lindneri_strainDSM20690,63.623,38079
A_jinshanensis_strainHSLZ75,F_sanfranciscensis_DSM20451,62.9319,38003
A_jinshanensis_strainHSLZ75,L_Lactobacillus_spSy1,67.3142,38044
A_jinshanensis_strainHSLZ75,L_senioris_DSM24302,63.973,38102
A_jinshanensis_strainHSLZ75,N_22_Melli_029_v2,67.4672,38057
A_jinshanensis_strainHSLZ75,N_40_Melli_029_v2,67.2925,37869
A_jinshanensis_strainHSLZ75,N_41_Melli_001_v2,67.4615,38038
A_jinshanensis_strainHSLZ75,N_45_Melli_016_v2,67.2339,38140
A_jinshanensis_strainHSLZ75,N_45_Melli_020_v2,67.4584,38019
A_jinshanensis_strainHSLZ75,N_46_Melli_022_v2,67.2365,38140
A_jinshanensis_strainHSLZ75,N_47_Melli_001_v2,67.433,38017
A_jinshanensis_strainHSLZ75,N_barcode03,67.4576,38055
A_jinshanensis_strainHSLZ75,N_barcode04,67.4531,38019
A_jinshanensis_strainHSLZ75,N_barcode20,67.0834,37671
A_jinshanensis_strainHSLZ75,Nicoliella_lavandulae_Es01,67.5344,38182
A_jinshanensis_strainHSLZ75,Nicoliella_spurrieriana_SGEP1_A5,67.2931,37940
A_jinshanensis_subsaerogenes,A_kunkeei_DSM12361,65.98,38060
A_jinshanensis_subsaerogenes,A_micheneri_strainHlig3,66.3201,37892
A_jinshanensis_subsaerogenes,A_micheneri_strainNBRC113063,66.2906,38114
A_jinshanensis_subsaerogenes,A_ozensis_DSM23829,66.377,38090
A_jinshanensis_subsaerogenes,A_quenuiae_strainHV6,66.2609,38033
A_jinshanensis_subsaerogenes,A_timberlakei_strainHV12,66.2743,38057
A_jinshanensis_subsaerogenes,F_florum_DSM22689,61.2542,38048
A_jinshanensis_subsaerogenes,F_fructivorans_strainDSM20203,64.8715,38120
A_jinshanensis_subsaerogenes,F_lindneri_strainDSM20690,63.6072,38079
A_jinshanensis_subsaerogenes,F_sanfranciscensis_DSM20451,62.9187,38003
A_jinshanensis_subsaerogenes,L_Lactobacillus_spSy1,67.3063,38044
A_jinshanensis_subsaerogenes,L_senioris_DSM24302,63.9546,38102
A_jinshanensis_subsaerogenes,N_22_Melli_029_v2,67.4567,38057
A_jinshanensis_subsaerogenes,N_40_Melli_029_v2,67.2793,37869
A_jinshanensis_subsaerogenes,N_41_Melli_001_v2,67.451,38038
A_jinshanensis_subsaerogenes,N_45_Melli_016_v2,67.2234,38140
A_jinshanensis_subsaerogenes,N_45_Melli_020_v2,67.4479,38019
A_jinshanensis_subsaerogenes,N_46_Melli_022_v2,67.226,38140
A_jinshanensis_subsaerogenes,N_47_Melli_001_v2,67.4225,38017
A_jinshanensis_subsaerogenes,N_barcode03,67.4471,38055
A_jinshanensis_subsaerogenes,N_barcode04,67.4426,38019
A_jinshanensis_subsaerogenes,N_barcode20,67.0728,37671
A_jinshanensis_subsaerogenes,Nicoliella_lavandulae_Es01,67.524,38182
A_jinshanensis_subsaerogenes,Nicoliella_spurrieriana_SGEP1_A5,67.2826,37940
A_kunkeei_DSM12361,A_micheneri_strainHlig3,82.9843,38012
A_kunkeei_DSM12361,A_micheneri_strainNBRC113063,82.9619,38232
A_kunkeei_DSM12361,A_ozensis_DSM23829,77.3233,38167
A_kunkeei_DSM12361,A_quenuiae_strainHV6,82.7531,38175
A_kunkeei_DSM12361,A_timberlakei_strainHV12,82.8728,38179
A_kunkeei_DSM12361,F_florum_DSM22689,65.7556,38088
A_kunkeei_DSM12361,F_fructivorans_strainDSM20203,69.7571,38161
A_kunkeei_DSM12361,F_lindneri_strainDSM20690,68.4273,38093
A_kunkeei_DSM12361,F_sanfranciscensis_DSM20451,68.0989,38052
A_kunkeei_DSM12361,L_Lactobacillus_spSy1,73.1532,38038
A_kunkeei_DSM12361,L_senioris_DSM24302,70.646,38097
A_kunkeei_DSM12361,N_22_Melli_029_v2,73.32,38051
A_kunkeei_DSM12361,N_40_Melli_029_v2,71.8056,37848
A_kunkeei_DSM12361,N_41_Melli_001_v2,73.3237,38015
A_kunkeei_DSM12361,N_45_Melli_016_v2,71.7227,38126
A_kunkeei_DSM12361,N_45_Melli_020_v2,73.3039,38013
A_kunkeei_DSM12361,N_46_Melli_022_v2,71.7201,38126
A_kunkeei_DSM12361,N_47_Melli_001_v2,73.2933,37998
A_kunkeei_DSM12361,N_barcode03,73.3107,38049
A_kunkeei_DSM12361,N_barcode04,73.301,37994
A_kunkeei_DSM12361,N_barcode20,73.0509,37645
A_kunkeei_DSM12361,Nicoliella_lavandulae_Es01,73.3635,38177
A_kunkeei_DSM12361,Nicoliella_spurrieriana_SGEP1_A5,73.0745,37990
A_micheneri_strainHlig3,A_micheneri_strainNBRC113063,99.2408,38196
A_micheneri_strainHlig3,A_ozensis_DSM23829,77.9172,38007
A_micheneri_strainHlig3,A_quenuiae_strainHV6,95.9502,38125
A_micheneri_strainHlig3,A_timberlakei_strainHV12,98.544,38188
A_micheneri_strainHlig3,F_florum_DSM22689,65.3528,37902
A_micheneri_strainHlig3,F_fructivorans_strainDSM20203,70.0026,37960
A_micheneri_strainHlig3,F_lindneri_strainDSM20690,68.3694,37900
A_micheneri_strainHlig3,F_sanfranciscensis_DSM20451,68.0875,37841
