"","user_genome","Completeness","Contamination","Strain heterogeneity","Genome size (bp)","# contigs","N50 (contigs)","classification","closest_placement_reference","closest_placement_taxonomy","closest_placement_radius","closest_placement_ani"
"16","89_Scapto.001",93.26,1.72,0,1179535,44,49106,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__","GCF_004359375.1","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis","95.0","76.06"
"17","89_Scapto.002",94.83,13.79,31.82,1399113,62,70819,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__","GCF_004359375.1","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis","95.0","77.82"
"18","43_Scapto.014",99.84,2.3,100,3550637,287,33525,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rosenbergiella;s__Rosenbergiella epipactidis","GCF_018494055.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rosenbergiella;s__Rosenbergiella epipactidis","95.0","96.67"
"19","43_Scapto.022",98.28,3.45,0,1894294,138,56857,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__","N/A","N/A","N/A","N/A"
"20","51_Scapto.004",98.28,1.72,100,1321967,113,47572,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__","GCF_004359375.1","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis","95.0","76.79"
"21","90_Scapto.012",94.83,5.17,0,2759071,555,8341,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__","GCF_004359375.1","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis","95.0","76.76"
"22","92_Scapto.002",91.38,10.16,9.09,1164501,85,28028,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__","GCF_004359375.1","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis","95.0","76.68"
"23","92_Scapto.009",98.28,8.62,20,2353220,454,10801,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__","GCF_004359375.1","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis","95.0","77.5"
"24","92_Scapto.020",91.68,4.89,75,5013045,309,50761,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea ananatis","GCF_000710035.2","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea ananatis","95.0","99.18"
"25","92_Scapto.034",94.83,11.29,0,1403740,198,19367,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Fructobacillus;s__","N/A","N/A","N/A","N/A"
